ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species	Resolution	Taxonomy
ASV1348	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor hiemalis	Species	k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Mucoraceae;g__Mucor;s__Mucor hiemalis
ASV1349	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	Funneliformis geosporum	Species	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Funneliformis;s__Funneliformis geosporum
ASV1350	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	Acremonium Undetermined	Species	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__Acremonium Undetermined
ASV1351	Fungi	Basidiomycota	Agaricomycetes	Russulales	Auriscalpiaceae	Auriscalpium	Auriscalpium vulgare	Species	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Auriscalpiaceae;g__Auriscalpium;s__Auriscalpium vulgare
ASV1352	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleraceae	Bullera	Bullera alba	Species	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleraceae;g__Bullera;s__Bullera alba
ASV1354	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Undetermined	Undetermined	Family	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Undetermined;s__Undetermined
ASV1355	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	Knufia peltigerae	Species	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae;g__Knufia;s__Knufia peltigerae
ASV1356	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	Funneliformis mosseae	Species	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Funneliformis;s__Funneliformis mosseae
ASV1357	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	Funneliformis caledonium	Species	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Funneliformis;s__Funneliformis caledonium
ASV1358	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Phylum	k__Fungi;p__Ascomycota;c__Undetermined;o__Undetermined;f__Undetermined;g__Undetermined;s__Undetermined
