	Kingdom	Phylum	Class	Order	Family	Genus	Species	Resolution	Guild
ASV840	Fungi	Glomeromycota	Archaeosporomycetes	Archaeosporales	Archaeosporaceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV841	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV842	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Articulospora	Articulospora proliferata	Species	Pathotroph
ASV843	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Kamienskia	Kamienskia perpusilla	Species	Arbuscular Mycorrhizal
ASV845	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV846	Fungi	Basidiomycota	Agaricomycetes	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Class	NA
ASV847	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella hyalina	Species	Saprotroph
ASV848	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	Bipolaris sorokiniana	Species	Pathotroph
ASV849	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	Conocybe fuscimarginata	Species	Saprotroph
ASV850	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus Undetermined	Species	Arbuscular Mycorrhizal
ASV851	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Undetermined	Undetermined Undetermined	Family	Pathotroph
ASV852	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV853	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sarnyensis	Species	Saprotroph
ASV854	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	Funneliformis caledonium	Species	Arbuscular Mycorrhizal
ASV855	Fungi	Ascomycota	Leotiomycetes	Helotiales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV856	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Glarea	Glarea Undetermined	Species	Pathotroph
ASV857	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium magnum	Species	Saprotroph
ASV858	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Leptosphaeria	Leptosphaeria sclerotioides	Species	Pathotroph
ASV859	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	Diversispora Undetermined	Species	Arbuscular Mycorrhizal
ASV862	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus	Claroideoglomus Undetermined	Species	Arbuscular Mycorrhizal
ASV863	Fungi	Basidiomycota	Microbotryomycetes	MicrobotryomycetesordIncertaesedis	Chrysozymaceae	Yurkovia	Yurkovia mendeliana	Species	Saprotroph
ASV864	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Undetermined	Undetermined Undetermined	Family	Pathotroph
ASV865	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma dimennae	Species	Saprotroph
ASV866	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV867	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Acicuseptoria	Acicuseptoria rumicis	Species	Pathotroph
ASV868	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Arrhenia	Arrhenia subglobispora	Species	NA
ASV869	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Articulospora	Articulospora proliferata	Species	Pathotroph
ASV870	Fungi	Basidiomycota	Agaricomycetes	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Class	NA
ASV871	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae	Undetermined	Undetermined Undetermined	Family	NA
ASV872	Fungi	Ascomycota	Sordariomycetes	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Class	NA
ASV873	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Cistella	Cistella albidolutea	Species	Saprotroph
ASV874	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV875	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Undetermined	Undetermined	Undetermined Undetermined	Order	Saprotroph
